date,runoff,soilstore,snowpack,meltwater,T,P,PET
1993-02-13,0.2809771510353617,480.90896983131455,193.42274159862225,0.0,-17.564928448064848,0.0,0.0
1993-02-14,0.2773622216384141,480.90896983131455,193.42274159862225,0.0,-18.73921971686039,0.0,0.0
1993-02-15,0.2737938000884456,480.90896983131455,193.42274159862225,0.0,-18.75433319864834,0.0,0.0
1993-02-16,0.2702712880486248,480.90896983131455,193.42274159862225,0.0,-18.51032418259399,0.0,0.0
1993-02-17,0.2667940948795424,480.90896983131455,193.42274159862225,0.0,-18.79872554456796,0.0,0.0
1993-02-18,0.2633616375401999,480.90896983131455,193.42274159862225,0.0,-18.723678753461652,0.0,0.0
1993-02-19,0.2599733404902703,480.90896983131455,193.42274159862225,0.0,-17.929277783649326,0.0,0.0
1993-02-20,0.2566286355936165,480.90896983131455,193.42274159862225,0.0,-16.28899445294195,0.0,0.0
1993-02-21,0.2533269620230494,480.90896983131455,193.42274159862225,0.0,-15.93234768451822,0.0,0.0
1993-02-22,0.2500677661663115,480.90896983131455,198.5723297305003,0.0,-12.305491046347695,7.515798340273188,0.0
1993-02-23,0.2468505015332686,480.90896983131455,204.0732667559708,0.0,-9.74300938820386,8.028590308036911,0.0
1993-02-24,0.2436746286642958,480.90896983131455,204.0732667559708,0.0,-12.06245585123952,0.0,0.0
1993-02-25,0.2405396150398411,480.90896983131455,204.0732667559708,0.0,-15.512886950678649,0.0,0.0
1993-02-26,0.2374449349911517,480.90896983131455,204.0732667559708,0.0,-15.415991252249,0.0,0.0
1993-02-27,0.2343900696121489,480.90896983131455,204.0732667559708,0.0,-14.216893988463768,0.0,0.0
1993-02-28,0.2313745066724358,480.90896983131455,204.0732667559708,0.0,-16.29164922646146,0.0,0.0
1993-03-01,0.2283977405314243,480.90896983131455,204.0732667559708,0.0,-14.97887592986848,0.0,0.0
1993-03-02,0.2254592720535651,480.90896983131455,204.2567270339432,0.0,-11.04361641981768,0.2677593658715401,0.0
